Verified,Performance Title,Performance title in Japanese,Date,Time,Venue concatenated,Venue address,Latitude,Longtitude,Venue capacity,Genres concatenated,Performance types concatenated,"English name of performing troupes, performers concatenated","Kanji name of performing troupes, performers concatenated",Organizers/Sponsors concatenated,Org/Spon type 1,Organizers concatenated,org/spon type 2,Sponsors concatenated,org/spon type 3,Festival
,Traditional Japanese music and contemporary music performance by Chushin-So Cherry Orchestra,,5/10/1985,Evening,Hyatt Regency,"10 Scotts Road, Singapore 228211",1.306632,103.834892,,Traditional music; Contemporary music,Concert,Chushin-So Cherry Orchestra,,,,,,,,
,Taiko performance by Osuwa Daiko,,5/10/1985,20:00,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Traditional music,Concert,Osuwa Daiko (Fukushima),,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Traditional Japanese music and contemporary music performance by Chushin-So Cherry Orchestra,,6/10/1985,Evening,Hyatt Regency,"10 Scotts Road, Singapore 228211",1.306632,103.834892,,Traditional music; Contemporary music,Concert,Chushin-So Cherry Orchestra,,,,,,,,
,Traditional Japanese performance at Kinki Fair by Yamaguchi Sachiko Hōgaku Ensemble (Osaka) and other performers,,9/1/1986,Evening,"World Trade Centre, Hall 2","1 Maritime Square, Singapore 099253",1.26396,103.82024,,Traditional music,Concert,Yamaguchi Sachiko Hōgaku Ensemble (Osaka) and other performers,山口幸子邦楽合奏団,Jurong Town Corporation (JTC),,,,,,
,Traditional Japanese performance at Kinki Fair by Yamaguchi Sachiko Hōgaku Ensemble (Osaka) and other performers,,10/1/1986,Evening,"World Trade Centre, Hall 2","1 Maritime Square, Singapore 099253",1.26396,103.82024,,Traditional music,Concert,Yamaguchi Sachiko Hōgaku Ensemble (Osaka) and other performers,山口幸子邦楽合奏団,Jurong Town Corporation (JTC),,,,,,
,Traditional Japanese performance at Kinki Fair by Yamaguchi Sachiko Hōgaku Ensemble (Osaka) and other performers,,11/1/1986,Daytime,"World Trade Centre, Hall 2","1 Maritime Square, Singapore 099253",1.26396,103.82024,,Traditional music,Concert,Yamaguchi Sachiko Hōgaku Ensemble (Osaka) and other performers,山口幸子邦楽合奏団,Jurong Town Corporation (JTC),,,,,,
,An Evening of Kinki: Traditional Japanese performance by Yamaguchi Sachiko Hōgaku Ensemble (Osaka) and other performers,,11/1/1986,16:30,Japanese Garden,"1 Chinese Garden Road, Singapore 619795",1.33625,103.73089,,Traditional music,Others,Yamaguchi Sachiko Hōgaku Ensemble (Osaka) and other performers,山口幸子邦楽合奏団,Jurong Town Corporation (JTC),,,,,,
,"Combined music concert by Yamaguchi Sachiko Hōgaku Ensemble (Japan), People's Association Chinese Orchestra (Singapore) and Siong Leng Musical Association (Singapore)",,12/1/1986,15:00,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Traditional music; Contemporary music,Concert,Yamaguchi Sachiko Hōgaku Ensemble (Osaka); People's Association Chinese Orchestra (Singapore); Siong Leng Musical Association (Singapore),山口幸子邦楽合奏団,People's Association (PA); Prefecture Governors Committee of Kinki District in Japan,,,,,,
,Traditional Japanese performance at Kinki Fair by Yamaguchi Sachiko Hōgaku Ensemble (Osaka) and other performers,,12/1/1986,Evening,"World Trade Centre, Hall 2","1 Maritime Square, Singapore 099253",1.26396,103.82024,,Traditional music,Concert,Yamaguchi Sachiko Hōgaku Ensemble (Osaka) and other performers,山口幸子邦楽合奏団,Jurong Town Corporation (JTC),,,,,,
,Traditional Japanese performance at Kinki Fair by Yamaguchi Sachiko Hōgaku Ensemble (Osaka) and other performers,,13/1/1986,Evening,"World Trade Centre, Hall 2","1 Maritime Square, Singapore 099253",1.26396,103.82024,,Traditional music,Concert,Yamaguchi Sachiko Hōgaku Ensemble (Osaka) and other performers,山口幸子邦楽合奏団,Jurong Town Corporation (JTC),,,,,,
,Lecture demonstration on Nihon Buyo,,17/1/1986,19:30,"Regional Language Centre (RELC), Auditorium","30 Orange Grove Road, Singapore 258352",1.31284,103.82608,,Nihon Buyo,Talk,"Performers from the Japan Nihon Buyo Association and the All Japan Dance Federation, e.g. Nishikawa Senyuji; Gojō Masaki; Fujima Rankei; Hanayanagi Mariko; Wakayanagi Kiyū",,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japan Foundation",,,,The Japan Foundation,,
,Choir performance by Star & Tamayura Choirs (Japan) and Metro Philharmonic Choir (Singapore), ,2/8/1986,20:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Choir,Concert,Star & Tamayura Choirs (Japan); Metro Philharmonic Choir (Singapore),,,,,,,,
,Violin recital by Lynette Lin with Iwaguchi Setsuko on piano,,24/8/1986,17:00,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Classical music,Concert,Lynette Lin (Violin); Iwaguchi Setsuko (Piano),,,,,,,,
,Okamoto Ballet,,24/9/1986,20:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Ballet,Dance,Okamoto Ballet,,Ministry of Community Development (MCD),,,,,,
,Okamoto Ballet,,25/9/1986,20:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Ballet,Dance,Okamoto Ballet,,Ministry of Community Development (MCD),,,,,,
,Hokkaido shamisen group led by Kidarin Shōe,,17/1/1987,14:30,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Traditional music,Concert,Hokkaido shamisen group led by Kidarin Shōe,木田林 松栄,Siakson Coach Tours Pte Ltd (closed 2015),,,,,,
,Traditional Japanese music performance by Ishikawa Prefecture Cultural Goodwill Mission at Singapore Arts Festival Fringe show,,3/6/1987,Evening,Isetan Scotts,"1 Scotts Road,  ,  , Singapore 228208",1.30611,103.83197,,Minyo; Traditional music,Concert; Outdoor,Ishikawa Prefecture Cultural Goodwill Mission; Winners of 1987 Japan minyō competition,,National Arts Council (NAC),,,,,,
,Traditional Japanese music performance by Ishikawa Prefecture Cultural Goodwill Mission at Singapore Arts Festival Fringe show,,4/6/1987,Evening,Sentosa,,1.24981,103.82948,,Minyo; Traditional music,Concert; Outdoor,Ishikawa Prefecture Cultural Goodwill Mission; Winners of 1987 Japan minyō competition,,National Arts Council (NAC),,,,,,
,Traditional Japanese music performance by Ishikawa Prefecture Cultural Goodwill Mission at Singapore Arts Festival Fringe show,,5/6/1987,18:30,Marina Square,"6 Raffles Boulevard, Singapore 039594",1.29185,103.85857,,Minyo; Traditional music,Concert; Outdoor,Ishikawa Prefecture Cultural Goodwill Mission; Winners of 1987 Japan minyō competition,,National Arts Council (NAC),,,,,,
,Japanese Koto Recital,,27/10/1987,19:30,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.875681,,Traditional music,Concert,Murata Shū,,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,"Rakugo show by Katsura Shijaku, Katsura Jakumatsu, and Katsura Takeshi",,14/11/1987,Evening,"Century Park Sheraton Hotel, Connaught Room","Nassim Road, Singapore",1.30766,103.82348,,Rakugo,Theatre,Katsura Shijaku; Katsura Jakumatsu; Katsura Takeshi,,,,,,,,
,Japan Folk Arts Show,,7/9/1987,19:30,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.875681,,Others; Folk music; Folk dance,Concert,,,"The Japanese Cultural Society, Singapore (JCS)",,"The Japanese Cultural Society, Singapore (JCS)",,,,
,Lecture demonstration on traditional Japanese music,,24/2/1988,18:00,"National University of Singapore (NUS), Centre for Musical Activities Auditorium","17 Kent Ridge Crescent, Singapore 119277",1.2992,103.77374,,Traditional music,Talk,Susumu Miyashita (Koto); Somei Sasaki (Shamisen); Akikazu Nakamura (Shakuhachi),,National University of Singapore (NUS),,,,,,
,Traditional Japanese music performance by various musicians,,25/2/1988,20:00,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Traditional music,Concert,Susumu Miyashita (koto); Somei Sasaki (shamisen); Akikazu Nakamura (shakuhachi); Shuuo Takada (koto); Shuuoka Taniguchi (koto),,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japan Foundation",,,,,,
,Japanese folk dance and Minyo performance by Ishikawa troupe,,3/6/1988,19:30,Isetan Scotts,"1 Scotts Road, Singapore 228208",1.30611,103.83197,,Minyo; Traditional music; Folk dance,Others,"Ishikawa troupe (singers, dancers, drummers)",,The Japan Foundation,,,,,,
,Japanese folk dance and Minyo performance by Ishikawa troupe,,4/6/1988,19:45,"Sentosa, Sentosa Amphitheatre",,1.251539,103.818478,,Minyo; Traditional music; Folk dance,Others,"Ishikawa troupe (singers, dancers, drummers)",,The Japan Foundation,,,,,,
,Japanese folk dance and Minyo performance by Ishikawa troupe,,5/6/1988,18:30,Marina Square,"6 Raffles Boulevard, Singapore 039594",1.29185,103.85857,,Minyo; Traditional music; Folk dance,Others,"Ishikawa troupe (singers, dancers, drummers)",,The Japan Foundation,,,,,,
,Noh performance by Kita Noh School,,17/6/1988,20:00,"Singapore Labour Foundation (SLF), Auditorium","1 Marina Boulevard, Singapore 018989",1.282391,103.852501,,Noh,Theatre,Kita Noh School,,National Theatre Trust,,,,,,
,Noh performance by Kita Noh School,,18/6/1988,20:00,"Singapore Labour Foundation (SLF), Auditorium","1 Marina Boulevard, Singapore 018989",1.282391,103.852501,,Noh,Theatre,Kita Noh School,,Ministry of Community Development (MCD),,,,,,
,Choral performance by Hands Across The SeasTokushima Children's Choir (Japan) and Risen Christ Choir (Singapore),,26/7/1988,20:00,"Singapore Labour Foundation (SLF), Auditorium","1 Marina Boulevard, Singapore 018989",1.282391,103.852501,,Choir; Contemporary music,Concert,,,,,,,,,
,Enka performance by Shinno Mika,,25/9/1988,19:45,"Sentosa, Sentosa Musical Fountain",,1.2556829,103.8201946,,Enka,Concert,Shinno Mika,,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Choral Symphony Performance,,27/10/1988,19:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Choir; Contemporary music,Concert,Toho University (Japan); NUS Concert Orchestra (Singapore); NUS Choir (Singapore),,"The Japanese Association, Singapore (JAS)",,,,,,
,Kabuki style contemporary play,,8/3/1989,Evening,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.875681,,Play,Theatre,Ryōtarō Sugi (singer-actor),,,,,,,,
,Kabuki style contemporary play,,9/3/1989,Evening,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.875681,,Play,Theatre,Ryōtarō Sugi (singer-actor),,,,,,,,
,19th Japanese Cultural Festival: Koto performance by Tanii Sumiko (Japan) and NUS Koto Club (Singapore),,24/4/1989,19:00,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Traditional music,Concert,Tanii Sumiko; NUS Koto Club (Singapore),,"Department of Japanese Studies, National University of Singapore (NUS); The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore",,,,,,
,Choshi Wind Ensemble concert,,27/6/1989,20:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Contemporary music,Concert,Choshi Wind Ensemble,,,,,,,,
,Shadow puppet show by Kageboushi Troupe,,15/8/1989,20:00,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.875681,,Puppet theatre,Theatre,Kageboushi Troupe,,"The Japanese Cultural Society, Singapore (JCS); The Japan Foundation",,,,,,
,Shadow puppet show by Kageboushi Troupe,,16/8/1989,20:00,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.875681,,Puppet theatre,Theatre,Kageboushi Troupe,,"The Japanese Cultural Society, Singapore (JCS); The Japan Foundation",,,,,,
,19th Japanese Cultural Festival: Japanese folk dance and traditional Japanese music performance,,4/9/1989,20:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Folk dance; Traditional music,Others,International Culture Communication Centre SAKURA (folk dance),,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,19th Japanese Cultural Festival: 12th Japanese Folk Arts Goodwill Mission,,9/9/1989,19:30,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.875681,,Traditional music; Folk dance; Minyo; Nihon Buyo,Others,12th Japanese Folk Arts Goodwill Mission,,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Shizuoka Day: Shizuoka City Women's Choir,,25/10/1989,Evening,"Yaohan Orchard, 1st and 2nd Storey Concourse","68 Orchard Road, Singapore 238839",1.300748,103.845048,,Choir; Contemporary music,Concert,Shizuoka City Women's Choir,,Shizuoka Prefectural Government; Embassy of Japan in Singapore; Japan External Trade Organization (JETRO) Singapore; Yaohan,,,,,,
,NUS-Toho University Joint Concert,,25/10/1989,19:30,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Choir,Concert,Toho University Students; NUS Concert Orchestra; NUS Choir; Kazuoki Fujii,,"The Japanese Association, Singapore (JAS)",,,,,,
,Shizuoka Day: Koto music concert,,26/10/1989,Evening,"Yaohan Orchard, 1st and 2nd Storey Concourse","68 Orchard Road, Singapore 238839",1.300748,103.845048,,Traditional music,Concert,Kawai School of Music; Yamaha School of Music,,Shizuoka Prefectural Government; Embassy of Japan in Singapore; Japan External Trade Organization (JETRO) Singapore; Yaohan,,,,,,
,Shizuoka Day: Shizuoka Philharmony Orchestra,,28/10/1989,Evening,"Yaohan Orchard, 1st and 2nd Storey Concourse","68 Orchard Road, Singapore 238839",1.300748,103.845048,,Contemporary music,Concert,Shizuoka Philharmony Orchestra,,Shizuoka Prefectural Government; Embassy of Japan in Singapore; Japan External Trade Organization (JETRO) Singapore; Yaohan,,,,,,
,Shizuoka Day: Shizuoka Philharmony Orchestra,,29/10/1989,Evening,"Yaohan Orchard, 1st and 2nd Storey Concourse","68 Orchard Road, Singapore 238839",1.300748,103.845048,,Contemporary music,Concert,Shizuoka Philharmony Orchestra,,Shizuoka Prefectural Government; Embassy of Japan in Singapore; Japan External Trade Organization (JETRO) Singapore; Yaohan,,,,,,
,Jazz concert by Watanabe Sadao,,25/11/1989,20:30,"World Trade Centre, Auditorium","1 Maritime Square, Singapore 099253",1.26396,103.82024,,Jazz,Concert,Sadao Watanabe,,Jasper Productions,,,,,,
,Jazz concert by Watanabe Sadao,,26/11/1989,20:30,"World Trade Centre, Auditorium","1 Maritime Square, Singapore 099253",1.26396,103.82024,,Jazz,Concert,Sadao Watanabe,,Jasper Productions,,,,,,
,The Grand Kabuki,,14/6/1990,20:15,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.87568,,Kabuki,Theatre,Grand Kabuki; Onoe Kikugoro VII; Bando Yasosuke V; Bando Shonosuke I; Onoe Umenosuke; Onoe Otome,,National Arts Council (NAC),,,,The Japan Foundation; National (Panasonic),,
,The Grand Kabuki,,15/6/1990,20:15,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.87568,,Kabuki,Theatre,Grand Kabuki; Onoe Kikugoro VII; Bando Yasosuke V; Bando Shonosuke I; Onoe Umenosuke; Onoe Otome,,National Arts Council (NAC),,,,The Japan Foundation; National (Panasonic),,
,Unetsu,,1/6/1990,Evening,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.87568,,Butoh,Dance,Sankai Juku,,National Arts Council (NAC),,Singapore Arts Festival,,,,
,Unetsu,,2/6/1990,Evening,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.87568,,Butoh,Dance,Sankai Juku,,National Arts Council (NAC),,Singapore Arts Festival,,,,
,Paquita - A Midsummer's Night Dream,,18/9/1990,20:00,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.87568,,Ballet,Dance,Matsumoto Michiko Ballet Company,,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS); National Theatre Trust; The Japan Foundation",,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS); National Theatre Trust",,The Japan Foundation,,
,Paquita; A Midsummer's Night Dream,,19/9/1990,20:00,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.87568,,Ballet,Dance,Matsumoto Michiko Ballet Company,,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS); National Theatre Trust; The Japan Foundation",,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS); National Theatre Trust",,The Japan Foundation,,
,20th Japanese Cultural Festival: Variety show by 13th Japanese Folk Performance Goodwill Mission,《日本民俗艺术之夜》 -> from Chinese newspaper,27/9/1990,19:30,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.87568,,Folk dance; Minyo; Traditional music; Nihon Buyo,Others,13th Japanese Folk Performance Goodwill Mission,第13回日本民俗艺能亲善使节团 <- from Chinese newspaper,"Embassy of Japan in Singapore; The Japanese Cultural Society, Singapore (JCS)",,"Embassy of Japan in Singapore; The Japanese Cultural Society, Singapore (JCS)",,,,
,20th Japanese Cultural Festival: Japan Gagaku Society concert,"《雅乐演奏会》 -> from Chinese newspaper, Gagaku Ensokai?",28/9/1990,20:00,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Gagaku,Concert,Japan Gagaku Society concert,日本雅楽会,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS)",,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS)",,,,
,Gagaku performance,,19/6/1990,Evening,Pan Pacific Singapore,"7 Raffles Boulevard, Pan Pacific Singapore, Singapore 039595",1.2923729,103.8588044,,Gagaku,Concert,Tokyo Academy of Arts,,"The Japanese Association, Singapore (JAS)",,"The Japanese Association, Singapore (JAS)",,,,
,,,6/2/1991,19:40,"NTUC Centre, Stephen Riady Auditorium @ NTUC","1 Marina Boulevard, Singapore 018989",1.282391,103.852501,,Contemporary music,Concert,Toba Ichiro,,,,,,,,
,,,13/4/1991,Evening,The Alkaff Mansion,"10 Telok Blangah Green, Singapore 109178",1.2788173,103.8131816,,Jazz,Concert,Watanabe Sadao,,,,,,,,
,,,12/4/1991,Evening,The Alkaff Mansion,"10 Telok Blangah Green, Singapore 109178",1.2788173,103.8131816,,Jazz,Concert,Watanabe Sadao,,,,,,,,
,,,19/8/1991,20:15,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Asian Youth Orchestra,,,,,,Fuji Xerox; Singapore Press Holdings (SPH),,
,,,20/8/1991,20:15,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Asian Youth Orchestra,,,,,,Fuji Xerox; Singapore Press Holdings (SPH),,
,,,6/12/1991,20:15,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Classical music,Concert,Asako Urushihara (Violin); Singapore Symphony Orchestra (SSO),漆原朝子; 齐藤恭子,NEC Singapore Pte. Ltd.; Singapore Symphonia Company Limited,,,,,,
,,,7/12/1991,20:15,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Classical music,Concert,Urushihara Asako (Violin); Singapore Symphony Orchestra (SSO),漆原朝子; 齐藤恭子,NEC Singapore Pte. Ltd.; Singapore Symphonia Company Limited,,,,,,
,,新加坡交响乐团例常音乐会 (CH),25/1/1991,20:15,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Classical music,Concert,Singapore Symphony Orchestra (Singapore); Fujikawa Mayumi (Japan),藤川真弓,Victoria Concert Hall,,,,,,
,,新加坡交响乐团例常音乐会 (CH),26/1/1991,20:15,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Classical music,Concert,Singapore Symphony Orchestra (Singapore); Fujikawa Mayumi (Japan),,Victoria Concert Hall,,,,,,
,,,5/6/1991,18:30,"Marina Square, Tokyu Department Store","6 Raffles Boulevard, Singapore 039594",1.29185,103.85857,,Traditional music; Minyo; Folk dance,Others,"9 drummers, 6 singers, and 10 dances led by Yamamoto Masafumi",山本正文,,,,,,,
,,,3/6/1991,19:30,Isetan Scotts,"1 Scotts Road, Singapore 228208",1.30611,103.83197,,Traditional music; Minyo; Folk dance,Workshop,"7 drummers, 6 singers, and 10 dances led by Yamamoto Masafumi",山本正文,,,,,,,
,,,4/6/1991,19:45,"Sentosa, Palawan Amphitheatre","81F Palawan Beach Walk, Singapore",1.251539,103.818478,,Traditional music; Minyo; Folk dance,Others,"8 drummers, 6 singers, and 10 dances led by Yamamoto Masafumi",山本正文,,,,,,,
,,日本歌咏及大正琴演奏 (CH),20/9/1991,20:00,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Traditional music; Choir,Others,"Nihon Shokin Kai; The Japanese Association, Singapore (JAS) Female Choir; Japanese Cultural Society Singapore (JCSS) Choir and Teck Ghee Community Club Seniors Karaoke Club",CH: 日本祥琴会；新加坡日本人会女声合唱团，新日文化协会歌咏团；德义联络所卡拉OK乐龄歌唱团,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,,,14/9/1991,20:00,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.87568,,Folk dance; Minyo; Traditional music; Nihon Buyo,Concert,14th Japanese Folk Performance Goodwill Mission; Japanese Cultural Society Singapore (JCSS) Nihon buyo group,第14回日本民俗艺能亲善使节团(CH),"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,,,8/9/1991,17:00,Chinese Garden,"1 Chinese Garden Road, Singapore 619795",1.33625,103.73089,,Traditional music; Contemporary music,Others,Osuwa Daiko,御諏訪太鼓,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,,,7/9/1991,20:00,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Traditional music; Contemporary music; Nihon buyo,Others,Osuwa Daiko,御諏訪太鼓,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,,,21/8/1991,Evening,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.87568,,Contemporary music,Concert,Kumano Yukari,,"Volunteer Action and Development Centre, National Council of Social Service (NCSS); Tanpopo-No-Ye Foundation (Japan)",,"Volunteer Action and Development Centre, National Council of Social Service (NCSS); Tanpopo-No-Ye Foundation (Japan)",,,,
,Macbeth,,11/6/1992,20:00,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.87568,,Play,Theatre,Ninagawa Company,,National Arts Council (NAC),,,,,,
,Macbeth,,12/6/1992,20:00,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.87568,,Play,Theatre,Ninagawa Company,,National Arts Council (NAC),,,,,,
,Macbeth,,13/6/1992,20:00,Kallang Theatre,"1 Stadium Walk, Singapore 397688",1.30191,103.87568,,Play,Theatre,Ninagawa Company,,National Arts Council (NAC),,,,,,
,Medea,,17/6/1992,20:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Play,Theatre,Ninagawa Company,,National Arts Council (NAC),,,,,,
,Medea,,18/6/1992,20:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Play,Theatre,Ninagawa Company,,National Arts Council (NAC),,,,,,
,Arcadia Concert in Singapore,,21/12/1992,19:00-21:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Contemporary music,Concert,"Arcadia Choir and Orchestra (Japan), conducted by Mrs Agnes Grossmann",,"The Japanese Association, Singapore (JAS)",,,,,,
,Minyo and folk dance by Warabi-Za Japanese Folk Song and Dance Company,,24/10/1992,20:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Minyo; Folk dance,Others,Warabi-Za Japanese Folk Song and Dance Company,,National Arts Council (NAC),,,,,,
,Okamoto Ballet,,18/9/1992,20:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Ballet,Dance,Okamoto Ballet,,National Arts Council (NAC),,,,,,
,Okamoto Ballet,,19/9/1992,20:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Ballet,Dance,Okamoto Ballet,,National Arts Council (NAC),,,,,,
,Warabi-Za Japanese Folk Song and Dance Company,,23/10/1992,20:00,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Minyo; Folk dance,Others,Warabi-Za Japanese Folk Song and Dance Company,,National Arts Council (NAC),,,,,,
,Workshop on folk song and dance by Warabi-Za Japanese Folk Song and Dance Company,,21/10/1992,Evening,Queenstown Community Centre,"365 Commonwealth Avenue, Queenstown Community Centre, Singapore 149732",1.2989632,103.8014866,,Minyo; Folk dance,Workshop,Warabi-Za Japanese Folk Song and Dance Company,,National Arts Council (NAC),,,,,,
,,,13/11/1993,15:00,"Raffles Hotel, Jubilee Hall","1 Beach Road, Singapore 189673",1.294801,103.854467,,Kyogen,Theatre,"Izumi School of Kyogen (Izumi Motohide, Izumi Motoya, Izumi Junko, Izumi Shoko)",,Festival Of Asian Performing Arts,,,,,,
,,,12/11/1993,20:00,"Raffles Hotel, Jubilee Hall","1 Beach Road, Singapore 189673",1.294801,103.854467,,Kyogen,Theatre,"Izumi School of Kyogen (Izumi Motohide, Izumi Motoya, Izumi Junko, Izumi Shoko)",,Festival Of Asian Performing Arts,,,,,,
,Mukashi Mukashi no Kai,「むかしむかしの会」 鹿の遠音・手向け・江差追分・小諸馬子唄・ほか こばなし・阿武隈川の千人ぎり・二百人の盗賊,2/10/1993,Evening,"The Japanese Association, Singapore (JAS), Coffeehouse","120 Adam Road, Singapore 289899",1.33073,103.816112,,Minyo; Katari; Traditional music,Others,Sekiguchi Hijiridake (Shakuhachi); Ozawa Shigeo (Storyteller),関口聖岳 (Shakuhachi); 小沢重雄 (Storyteller),"The Japanese Association, Singapore (JAS)",,,,,,
,"Jazz performance by Kokubu Hiroko, Amano Kiyotsugu, Yamazaki Norimasa, Koyama Taro and Yahiro Yoichi",,1/9/1993,20:00,"Raffles Hotel, Jubilee Hall","1 Beach Road, Singapore 189673",1.294801,103.854467,,Jazz,Concert,"Kokubu Hiroko, Amano Kiyotsugu, Yamazaki Norimasa, Koyama Taro, Yahiro Yoichi",国府弘子; 天野清継; 山崎教昌; 小山太郎; 八尋洋一,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japan Foundation",,,,,,
,The Halley String Quartet concert,,24/2/1993,13:00,Temasek Junior College,"22 Bedok South Road, Singapore 469278",1.3184928,103.9355673,,Classical music,Concert,"Urushihara Keiko, Matsubara Katsuya, Toyoshima Yasushi, Yamamoto Yusuke",漆原啓子; 松原勝也; 豊島泰嗣; 山本佑介,NAFA Service Pte. Ltd.,,,,,,
,The Halley String Quartet concert,,25/2/1993,20:00,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Classical music,Concert,"Urushihara Keiko, Matsubara Katsuya, Toyoshima Yasushi, Yamamoto Yusuke",漆原啓子; 松原勝也; 豊島泰嗣; 山本佑介,NAFA Service Pte. Ltd.,,,,,,
